fun	freq
optimize	26
installed.packages	26
loess.control	26
capabilities	26
rchisq	26
transform	26
Map	26
rug	25
curve	25
approxfun	25
contour	25
loadings	25
.Internal	24
strheight	24
anyDuplicated	24
within	24
units	24
as.Date	24
pgamma	23
pmin.int	23
bitmap	23
binomial	23
agrep	23
hsv	22
dbinom	22
as.expression	22
charToRaw	22
sequence	21
locator	21
setIs	21
trigamma	21
dQuote	21
spline	21
iconv	21
rawToChar	21
ppoints	20
getNamespace	20
topo.colors	20
norm	20
seq.int	20
residuals	20
Sys.Date	20
rbinom	20
dev.copy	20
qf	20
mahalanobis	20
qqline	19
symbols	19
rle	19
xor	19
dev.interactive	19
dev.set	19
pmax.int	19
object.size	19
anova	19
cummax	19
time	18
autoload	18
lfactorial	18
jitter	18
dgamma	18
devAskNewPage	17
weights	17
terrain.colors	17
uniroot	17
as.complex	17
simulate	17
charmatch	17
matlines	17
cov2cor	17
noquote	17
asNamespace	16
frame	16
kronecker	16
quit	16
.find.package	16
Reduce	16
.External	16
fft	16
runmed	16
max.col	16
unique.default	16
isS4	15
grey	15
atan	15
zip.file.extract	15
grid	15
factorial	15
close.screen	15
is.complex	15
isSymmetric	15
trace	15
as.single	15
logb	15
rgb2hsv	14
available.packages	14
qr.Q	14
graphics.off	14
Sys.setenv	14
dyn.load	14
split.data.frame	14
dev.control	14
offset	14
lm.wfit	14
backsolve	14
removeClass	14
chisq.test	13
pbeta	13
fisher.test	13
dunif	13
getSlots	13
rnbinom	13
lm.fit	13
model.weights	13
nlm	13
dev.print	13
stripchart	13
package_version	13
rowsum	13
isClass	12
interaction	12
compareVersion	12
evalq	12
relist	12
as.POSIXct	12
atan2	12
eval.parent	12
print.default	12
ks.test	11
file.rename	11
contrasts	11
glm.fit	11
rgamma	11
sys.frame	11
cbind.data.frame	11
citation	11
dt	11
kernel	11
sort.int	11
parent.env	10
quartz	10
unzip	10
convolve	10
logLik	10
sinh	10
La.svd	10
dbeta	10
colors	10
qbeta	10
hat	10
df	10
xy.coords	10
Gamma	10
baseenv	10
complex	10
abbreviate	10
format.pval	9
pie	9
axTicks	9
cmdscale	9
qgamma	9
plot.default	9
kruskal.test	9
rawShift	9
model.offset	9
Sweave	9
is.expression	9
file.create	9
getClassDef	9
lchoose	9
read.dcf	8
sys.function	8
contr.sum	8
unz	8
nobs	8
dpois	8
bquote	8
medpolish	8
Sys.getlocale	8
bxp	8
nls	8
reg.finalizer	8
lockEnvironment	8
effects	8
commandArgs	8
as.table	8
bmp	8
D	8
qhyper	8
prop.table	8
unix.time	8
getNativeSymbolInfo	8
getRversion	8
methods	7
save.image	7
removeMethod	7
family	7
history	7
qr.coef	7
pbinom	7
normalizePath	7
rexp	7
is.pairlist	7
vignette	7
contrib.url	7
is.raw	7
rbind2	7
Axis	7
is.call	7
optimise	7
dchisq	7
cummin	7
poly	7
geterrmessage	7
rt	7
withCallingHandlers	7
mat.or.vec	7
pwilcox	7
step	6
stdout	6
strtrim	6
URLencode	6
gl	6
Sys.setlocale	6
binom.test	6
dhyper	6
modifyList	6
